date,시가,고가,저가,종가,5,20,60,120,200,거래량,미결제약정
1996-05-04,107.8,108.2,107.4,107.4,0,0,0,0,0,1428,530
1996-05-06,107.5,108,106.9,107.8,0,0,0,0,0,3385,592
1996-05-07,107.95,108.9,107.95,108.85,0,0,0,0,0,4614,726
1996-05-08,108.95,109.05,108.2,108.25,0,0,0,0,0,4401,958
1996-05-09,107.75,107.95,102.8,105.9,107.64,0,0,0,0,5250,1222
1996-05-10,106.05,106.25,104.3,105.75,107.31,0,0,0,0,5015,1208
1996-05-11,105.85,106.2,105.2,105.65,106.88,0,0,0,0,1667,1349
1996-05-13,105.85,106.6,105.55,106.6,106.43,0,0,0,0,3435,1265
1996-05-14,106.95,107,105.45,105.5,105.88,0,0,0,0,4521,1359
1996-05-15,105.35,105.45,104.25,104.55,105.61,0,0,0,0,4010,1349
1996-05-16,104.35,104.45,103.2,103.35,105.13,0,0,0,0,3835,1725
1996-05-17,103.25,103.35,102.2,102.65,104.53,0,0,0,0,3627,1768
1996-05-18,102.6,103,101.65,101.65,103.54,0,0,0,0,1731,1855
1996-05-20,101.5,102.1,100.85,102.1,102.86,0,0,0,0,3489,1836
1996-05-21,102.15,102.15,100.45,100.5,102.05,0,0,0,0,3751,1751
1996-05-22,100.3,100.9,99.25,100.65,101.51,0,0,0,0,3654,1814
1996-05-23,100.85,101.2,99.65,99.8,100.94,0,0,0,0,3842,1738
1996-05-25,99.65,99.7,98.95,99.3,100.47,0,0,0,0,1961,1800
1996-05-27,99,100.1,98.5,100.1,100.07,0,0,0,0,3575,1748
1996-05-28,100,100,98.6,98.6,99.69,103.7475,0,0,0,2407,1666
1996-05-29,98.45,98.9,97.1,97.35,99.03,103.245,0,0,0,3647,1722
1996-05-30,97.15,98.45,96.8,97.6,98.59,102.735,0,0,0,3566,1647
1996-05-31,97.45,98.2,97.35,97.7,98.27,102.1775,0,0,0,2932,1838
1996-06-01,98.4,98.5,97.95,98.05,97.86,101.6675,0,0,0,1200,1892
1996-06-03,97.4,97.6,96.9,97.05,97.55,101.225,0,0,0,2232,1930
1996-06-04,96.95,98.1,96.95,98.1,97.7,100.8425,0,0,0,3254,2135
1996-06-05,98.2,98.5,97.8,98.15,97.81,100.4675,0,0,0,3506,1943
1996-06-07,98.4,98.4,97.3,97.3,97.73,100.0025,0,0,0,3392,2042
1996-06-08,97.05,97.35,96.5,96.7,97.46,99.5625,0,0,0,1509,2119
1996-06-10,96.7,96.7,95,95,97.05,99.085,0,0,0,3017,1962
1996-06-11,95,95.8,94.45,94.45,96.32,98.64,0,0,0,3259,1733
1996-06-12,94.7,95,93.1,93.1,95.31,98.1625,0,0,0,2726,1398
1996-06-13,93.1,93.9,92.75,93.7,94.59,97.765,0,0,0,1317,0
1996-06-14,93.8,93.8,92.4,92.4,93.73,97.28,0,0,0,3109,1403
1996-06-15,92.1,92.3,91.05,91.45,93.02,96.8275,0,0,0,1989,1500
1996-06-17,91.35,91.35,89.65,89.8,92.09,96.285,0,0,0,3265,1916
1996-06-18,90,90.4,89.65,89.9,91.45,95.79,0,0,0,3622,2218
1996-06-19,90,90.7,89.85,90.3,90.77,95.34,0,0,0,3052,2236
1996-06-20,90.2,90.3,89.1,89.1,90.11,94.79,0,0,0,2731,2390
1996-06-21,89.1,89.3,88.85,89.05,89.63,94.3125,0,0,0,2859,2442
1996-06-22,89.05,89.05,88.65,88.85,89.44,93.8875,0,0,0,975,2448
1996-06-24,88.6,88.6,86.4,86.4,88.74,93.3275,0,0,0,2125,2576
1996-06-25,86.05,86.05,84.95,85.25,87.73,92.705,0,0,0,3320,3117
1996-06-26,85,85.45,83.1,83.2,86.55,91.9625,0,0,0,2449,3281
1996-06-27,82.7,87.15,81.75,85.2,85.78,91.37,0,0,0,4045,3469
1996-06-28,84.8,88.3,84.7,86.95,85.4,90.8125,0,0,0,3444,3506
1996-06-29,86.95,87.4,85.15,87,85.52,90.255,0,0,0,1616,3620
1996-07-01,86.95,89.2,86.75,89.2,86.31,89.85,0,0,0,3128,3760
1996-07-02,89.45,89.95,87.7,87.8,87.23,89.405,0,0,0,3032,3863
1996-07-03,87.4,88.15,86.1,87,87.59,89.005,0,0,0,3196,4267
1996-07-04,87.7,88.25,86.8,87.5,87.7,88.6575,0,0,0,3123,4551
1996-07-05,87.65,87.85,86.95,87.8,87.86,88.3925,0,0,0,3086,4531
1996-07-06,87.5,88.05,87.45,88,87.62,88.1075,0,0,0,1057,4551
1996-07-08,88,88.35,87.45,87.55,87.57,87.865,0,0,0,2368,4475
