start,end,last_train,model
2024/12/01/09:00,2024/12/27/15:00,2024-12-15,"['10C', '10P', '5C', 0.00012049917788544373, 1, 30, 0.001179]"
2024/12/01/09:00,2025/01/03/15:00,2024-12-31,"['10P', '30P', '5C', 0.30993230891188067, 1, 50, 0.00237]"
2024/12/01/09:00,2025/01/10/15:00,2024-12-31,"['10P', '15P', '30HL', 0.04993824540764317, 2, 15, 0.003652]"
2024/12/16/09:00,2025/01/10/15:00,2024-12-31,"['10P', '15P', '30HL', 0.050874326021696434, 2, 15, 0.003652]"
2024/12/01/09:00,2024/12/27/15:00,2024-12-15,"['10C', '10P', '5C', 0.00012049917788544373, 1, 30, 0.001179]"
2024/12/01/09:00,2025/01/03/15:00,2024-12-31,"['10P', '30P', '5C', 0.30993230891188067, 1, 50, 0.00237]"
2024/12/01/09:00,2025/01/10/15:00,2024-12-31,"['10P', '15P', '30HL', 0.04993824540764317, 2, 15, 0.003652]"
2024/11/01/09:00,2024/11/30/15:00,2024-11-30,"['10P', '20HL', '5HL', 0.0, 4, 55, 0.003446]"
2024/11/16/09:00,2024/12/15/15:00,2024-12-15,"['10C', '10P', '20HL', 0.1251799247257825, 30, 65, 0.009026]"
2024/12/01/09:00,2024/12/27/15:00,2024-12-15,"['10C', '15HL', '5P', 0.27641150050516206, 6, 55, 0.00369]"
2025/01/01/09:00,2025/01/10/15:00,2024-12-31,"['15P', '20HL', '25P', 0.2909060241746915, 5, 35, 0.001]"
2025/01/01/09:00,2025/01/15/15:00,2024-12-31,"['10C', '15C', '20C', 0.27056785082949397, 4, 100, 0.001]"
2025/01/01/09:00,2025/01/15/15:00,2024-12-31,"['20HL', '20P', '30HL', 0.18228744475960376, 1, 100, 0.003941267657422547]"
2025/01/01/09:00,2025/01/15/15:00,2024-12-31,"['10P', '15P', '30HL', 0.3, 2, 100, 0.001]"
2025/01/01/09:00,2025/01/15/15:00,2024-12-31,"['15HL', '20C', '5HL', 0.13767073201549127, 20, 100, 0.001]"
2025/01/01/09:00,2025/01/15/15:00,2024-12-31,"['10C', '10HL', '20HL', 0.08627458096093829, 10, 15, 0.001]"
