dates,model0,model1,model2,model3,model4,model5,model6,model7,model8,model9,model10,model11,model12,model13,model14,model15,model16,model17,model18,model19
2021/01/04/10:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2021/01/04/11:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2021/01/04/12:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2021/01/04/13:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2021/01/04/14:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2021/01/04/15:00,1.0425492751773342,1.0425492751773342,1.0,1.0425492751773342,1.0120644434344488,1.0425492751773342,1.0425492751773342,1.0,1.0425492751773342,1.0425492751773342,1.0,1.0425492751773342,1.0425492751773342,1.0425492751773342,1.0425492751773342,1.0,1.0425492751773342,1.0120644434344488,1.0425492751773342,1.0425492751773342
2021/01/05/09:00,1.0425492751773342,1.0425492751773342,1.0,1.0425492751773342,1.0120644434344488,1.0425492751773342,1.0425492751773342,1.0,1.0425492751773342,1.0425492751773342,1.0,1.0425492751773342,1.0425492751773342,1.0425492751773342,1.0425492751773342,1.0,1.0425492751773342,1.0120644434344488,1.0425492751773342,1.0425492751773342
2021/01/05/10:00,1.0425492751773342,1.0425492751773342,1.0,1.0425492751773342,0.9455155973739229,1.0425492751773342,0.9760004291168083,1.0,1.0425492751773342,1.0425492751773342,1.0,1.0425492751773342,1.0425492751773342,1.0425492751773342,1.0425492751773342,1.0,1.0425492751773342,0.9455155973739229,1.0425492751773342,1.0425492751773342
2021/01/05/11:00,1.0425492751773342,1.0425492751773342,1.0,1.0425492751773342,0.8805712161419702,1.0425492751773342,0.9110560478848556,1.0,1.0425492751773342,1.0425492751773342,1.0008347298744658,1.0425492751773342,1.0425492751773342,1.0425492751773342,1.0425492751773342,1.0,1.0425492751773342,0.9455155973739229,1.0425492751773342,1.0425492751773342
2021/01/05/12:00,1.0425492751773342,1.0048790632610887,1.0,1.0425492751773342,0.8805712161419702,1.0425492751773342,0.9110560478848556,0.9623297880837545,1.0425492751773342,1.0425492751773342,0.9647689827867935,1.0425492751773342,1.0425492751773342,1.0425492751773342,1.0425492751773342,1.0,1.0425492751773342,0.9158694423705755,1.0048790632610887,1.0425492751773342
