dates,model0,model1,model2,model3,model4
2024/02/01/09:00,1.0,1.0,1.0,1.0,1.0
2024/02/01/10:00,1.0,1.0,1.0,1.0,1.0
2024/02/01/11:00,1.0,0.9460330269916023,1.0,1.0,1.0
2024/02/01/12:00,1.0,0.9460330269916023,1.0,1.0,1.0
2024/02/01/13:00,1.0,0.9460330269916023,1.0,1.0,1.0
2024/02/01/14:00,1.0,0.9460330269916023,1.0,1.0,1.0
2024/02/01/15:00,0.9841329919375733,0.9460330269916023,1.0039467331169138,0.9841329919375733,1.0
2024/02/02/09:00,0.9841329919375733,0.9460330269916023,1.0039467331169138,0.9841329919375733,1.0
2024/02/02/10:00,0.9841329919375733,0.9460330269916023,1.0039467331169138,0.9841329919375733,1.0
2024/02/02/11:00,0.9841329919375733,0.9460330269916023,1.0039467331169138,0.9841329919375733,1.0
2024/02/02/12:00,0.9841329919375733,0.9460330269916023,1.0039467331169138,0.9841329919375733,1.0
2024/02/02/13:00,0.9841329919375733,0.9460330269916023,1.0039467331169138,0.9841329919375733,1.0
2024/02/02/14:00,0.9841329919375733,0.9460330269916023,1.0039467331169138,0.9841329919375733,1.0
2024/02/02/15:00,1.1404711718714289,0.9530060811119747,1.126753966439579,1.1404711718714289,1.1563381799338557
2024/02/05/09:00,1.1404711718714289,0.9530060811119747,1.126753966439579,1.1404711718714289,1.1563381799338557
2024/02/05/10:00,1.1404711718714289,0.8990280889457882,1.126753966439579,1.0864931797052424,1.102360187767669
2024/02/05/11:00,1.1404711718714289,0.8990280889457882,1.1078300946458806,1.0864931797052424,1.102360187767669
2024/02/05/12:00,1.0864926310334853,0.8990280889457882,1.1078300946458806,1.0864931797052424,1.102360187767669
2024/02/05/13:00,1.0864926310334853,0.8990280889457882,1.1078300946458806,1.0864931797052424,1.102360187767669
2024/02/05/14:00,1.0864926310334853,0.8990280889457882,1.1078300946458806,1.0864931797052424,1.102360187767669
2024/02/05/15:00,1.0864926310334853,0.8990280889457882,1.1651083474311528,1.0864931797052424,1.102360187767669
2024/02/06/09:00,1.0864926310334853,0.8990280889457882,1.1651083474311528,1.0864931797052424,1.102360187767669
2024/02/06/10:00,1.0864926310334853,0.8990280889457882,1.1651083474311528,1.0864931797052424,1.102360187767669
2024/02/06/11:00,1.0325150046484701,0.845050462560773,1.1111307210461376,1.0864931797052424,1.102360187767669
2024/02/06/12:00,1.0325150046484701,0.845050462560773,1.1111307210461376,1.0864931797052424,1.102360187767669
2024/02/06/13:00,1.0325150046484701,0.845050462560773,1.1111307210461376,1.0864931797052424,1.102360187767669
