dates,model0,model1,model2,model3,model4,model5,model6,model7,model8,model9,model10,model11,model12,model13,model14,model15,model16,model17,model18,model19,model20,model21,model22,model23,model24,model25,model26,model27,model28,model29,model30,model31,model32,model33,model34,model35,model36,model37,model38,model39,model40,model41,model42,model43,model44,model45,model46,model47,model48,model49
2025/04/14/09:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2025/04/14/10:00,0.9707616,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9820116,1.0,1.0,0.9782616,0.9820116,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9907616,1.0,1.0,1.0,1.0,0.9820116,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9820116,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2025/04/14/11:00,0.9707616,1.0,1.0,0.9820114875,1.0,1.0,1.0,0.9782614875,1.0,0.9820116,1.0,1.0,0.9782616,0.9820116,1.0,0.9782614875,0.9782614875,1.0,1.0,1.0,1.0,1.0,1.0,0.9820114875,0.9782614875,0.9907616,1.0,1.0,1.0,1.0,0.9820116,1.0,1.0,0.9820114875,1.0,1.0,1.0,1.0,1.0,0.9870114875,1.0,0.9782614875,0.9820116,1.0,0.9907614875,1.0,1.0,1.0,1.0,1.0
2025/04/14/12:00,0.9707616,1.0,1.0,0.9820114875,1.0,1.0,1.0,0.9782614875,1.0,0.9820116,0.9707619375,0.9707619375,0.9782616,0.9820116,1.0,0.9782614875,0.9782614875,0.9745119375,1.0,1.0,1.0,0.9745119375,1.0,0.9820114875,0.9782614875,0.9907616,1.0,1.0,1.0,1.0,0.9820116,0.9707619375,1.0,0.9820114875,1.0,1.0,1.0,0.9707619375,1.0,0.9870114875,1.0,0.9782614875,0.9820116,0.9707619375,0.9907614875,1.0,1.0,0.9745119375,1.0,1.0
2025/04/14/13:00,0.9707616,1.0,1.0,0.9820114875,1.0,1.0,1.0,0.9782614875,1.0,0.9820116,0.9707619375,0.9707619375,0.9782616,0.9820116,1.0,0.9782614875,0.9782614875,0.9745119375,1.0,1.0,1.0,0.9745119375,1.0,0.9820114875,0.9782614875,0.9907616,1.0,1.0,1.0,1.0,0.9820116,0.9707619375,1.0,0.9820114875,1.0,1.0,1.0,0.9707619375,1.0,0.9870114875,1.0,0.9782614875,0.9820116,0.9707619375,0.9907614875,1.0,1.0,0.9745119375,1.0,1.0
2025/04/14/14:00,0.9707616,1.0,1.0,0.9820114875,1.0,1.0,1.0,0.9782614875,1.0,0.9820116,0.9707619375,0.9707619375,0.9782616,0.9820116,1.0,0.9782614875,0.9782614875,0.9745119375,1.0,1.0,1.0,0.9745119375,1.0,0.9820114875,0.9782614875,0.9907616,1.0,1.0,1.0,1.0,0.9820116,0.9707619375,1.0,0.9820114875,1.0,1.0,1.0,0.9707619375,1.0,0.9870114875,1.0,0.9782614875,0.9820116,0.9707619375,0.9907614875,1.0,1.0,0.9745119375,1.0,1.0
2025/04/14/15:00,0.9707616,0.9932616750000003,0.9895117875000009,0.9820114875,0.9895117875000009,0.9895117875000009,1.0,0.9782614875,0.9920113375,0.9820116,0.9707619375,0.9707619375,0.9782616,0.9820116,1.0,0.9782614875,0.9782614875,0.9745119375,0.9845119375000011,0.9882612249999991,0.9845119375000011,0.9745119375,1.0,0.9820114875,0.9782614875,0.9907616,0.9932616750000003,1.0,0.9895117875000009,1.0,0.9820116,0.9707619375,0.9857619,0.9820114875,0.9932616750000003,0.9895117875000009,0.9932616750000003,0.9707619375,0.9932616750000003,0.9870114875,0.9895117875000009,0.9782614875,0.9820116,0.9707619375,0.9907614875,1.0,0.9845119375000011,0.9745119375,0.9895117875000009,0.9932616750000003
2025/04/15/09:00,0.9707616,0.9932616750000003,0.9895117875000009,0.9820114875,0.9895117875000009,0.9895117875000009,1.0,0.9782614875,0.9920113375,0.9820116,0.9707619375,0.9707619375,0.9782616,0.9820116,1.0,0.9782614875,0.9782614875,0.9745119375,0.9845119375000011,0.9882612249999991,0.9845119375000011,0.9745119375,1.0,0.9820114875,0.9782614875,0.9907616,0.9932616750000003,1.0,0.9895117875000009,1.0,0.9820116,0.9707619375,0.9857619,0.9820114875,0.9932616750000003,0.9895117875000009,0.9932616750000003,0.9707619375,0.9932616750000003,0.9870114875,0.9895117875000009,0.9782614875,0.9820116,0.9707619375,0.9907614875,1.0,0.9845119375000011,0.9745119375,0.9895117875000009,0.9932616750000003
2025/04/15/10:00,0.9707616,0.9932616750000003,0.9895117875000009,0.9820114875,0.9895117875000009,0.9895117875000009,1.0,0.9782614875,0.9920113375,0.9820116,0.9707619375,0.9707619375,0.9782616,0.9820116,1.0,0.9782614875,0.9782614875,0.9745119375,0.9845119375000011,0.9882612249999991,0.9845119375000011,0.9745119375,1.0,0.9820114875,0.9782614875,0.9907616,0.9932616750000003,1.0,0.9895117875000009,1.0,0.9820116,0.9707619375,0.9857619,0.9820114875,0.9932616750000003,0.9895117875000009,0.9932616750000003,0.9707619375,0.9932616750000003,0.9870114875,0.9895117875000009,0.9782614875,0.9820116,0.9707619375,0.9907614875,1.0,0.9845119375000011,0.9745119375,0.9895117875000009,0.9932616750000003
2025/04/15/11:00,0.9707616,0.9932616750000003,0.9895117875000009,0.9820114875,0.9895117875000009,0.9895117875000009,1.0,0.9782614875,0.9920113375,0.9820116,0.9707619375,0.9707619375,0.9782616,0.9820116,1.0,0.9782614875,0.9782614875,0.9745119375,0.9845119375000011,0.9882612249999991,0.9845119375000011,0.9745119375,1.0,0.9820114875,0.9782614875,0.9907616,0.9932616750000003,1.0,0.9895117875000009,1.0,0.9820116,0.9707619375,0.9857619,0.9820114875,0.9932616750000003,0.9895117875000009,0.9932616750000003,0.9707619375,0.9932616750000003,0.9870114875,0.9895117875000009,0.9782614875,0.9820116,0.9707619375,0.9907614875,1.0,0.9845119375000011,0.9745119375,0.9895117875000009,0.9932616750000003
