date,시가,고가,저가,종가,5,20,60,120,200,거래량,미결제
2015/11/25/09:00,247.6,247.7,247.25,247.4,0.0,0.0,0.0,0.0,0.0,16567,236517
2015/11/25/10:00,247.4,247.55,246.45,246.75,0.0,0.0,0.0,0.0,0.0,20465,236857
2015/11/25/11:00,246.75,247.1,246.65,246.9,0.0,0.0,0.0,0.0,0.0,11644,238658
2015/11/25/12:00,246.9,247.55,246.8,247.4,0.0,0.0,0.0,0.0,0.0,9304,238368
2015/11/25/13:00,247.45,247.65,247.3,247.35,247.16,0.0,0.0,0.0,0.0,7582,238430
2015/11/25/14:00,247.35,247.5,247.1,247.35,247.15,0.0,0.0,0.0,0.0,11231,238079
2015/11/25/15:00,247.35,247.4,247.25,247.35,247.27,0.0,0.0,0.0,0.0,3830,238494
2015/11/26/09:00,247.6,249.75,247.5,249.4,247.77,0.0,0.0,0.0,0.0,35369,239752
2015/11/26/10:00,249.45,250.05,249.3,249.8,248.25,0.0,0.0,0.0,0.0,17524,241955
2015/11/26/11:00,249.85,250.1,249.55,249.95,248.77,0.0,0.0,0.0,0.0,10803,243646
2015/11/26/12:00,250.0,250.25,249.85,250.0,249.3,0.0,0.0,0.0,0.0,7500,242449
2015/11/26/13:00,250.0,250.55,249.95,250.4,249.91,0.0,0.0,0.0,0.0,9420,240419
2015/11/26/14:00,250.4,250.6,250.2,250.25,250.08,0.0,0.0,0.0,0.0,15629,239510
2015/11/26/15:00,250.3,250.3,250.1,250.3,250.18,0.0,0.0,0.0,0.0,4967,239134
2015/11/27/09:00,250.5,250.9,250.2,250.35,250.26,0.0,0.0,0.0,0.0,19910,239829
2015/11/27/10:00,250.3,250.6,249.9,250.05,250.27,0.0,0.0,0.0,0.0,15444,240420
2015/11/27/11:00,250.1,250.35,250.0,250.1,250.21,0.0,0.0,0.0,0.0,9771,239961
2015/11/27/12:00,250.15,250.15,249.9,249.95,250.15,0.0,0.0,0.0,0.0,5613,237936
2015/11/27/13:00,250.0,250.1,249.7,250.1,250.11,0.0,0.0,0.0,0.0,7981,240522
2015/11/27/14:00,250.05,250.1,249.75,249.9,250.02,249.05,0.0,0.0,0.0,10802,240031
2015/11/27/15:00,249.9,249.95,249.7,249.7,249.95,249.17,0.0,0.0,0.0,4148,239720
2015/11/30/09:00,248.7,248.8,246.2,246.55,249.24,249.16,0.0,0.0,0.0,42002,240058
2015/11/30/10:00,246.5,246.75,245.7,245.85,248.42,249.11,0.0,0.0,0.0,28089,239456
2015/11/30/11:00,245.85,246.15,245.1,245.2,247.44,249.0,0.0,0.0,0.0,20181,236904
2015/11/30/12:00,245.25,245.3,244.25,244.3,246.32,248.84,0.0,0.0,0.0,19242,235040
2015/11/30/13:00,244.3,244.5,243.85,244.35,245.25,248.69,0.0,0.0,0.0,18831,236781
2015/11/30/14:00,244.4,245.65,244.15,245.0,244.94,248.58,0.0,0.0,0.0,39672,235527
2015/11/30/15:00,245.0,245.05,244.45,244.85,244.74,248.35,0.0,0.0,0.0,10522,236390
2015/12/01/09:00,245.6,248.05,245.55,247.6,245.22,248.24,0.0,0.0,0.0,51811,237441
2015/12/01/10:00,247.55,248.0,247.15,247.65,245.89,248.12,0.0,0.0,0.0,30659,237651
2015/12/01/11:00,247.65,248.15,247.45,247.9,246.6,248.02,0.0,0.0,0.0,14514,238362
2015/12/01/12:00,247.9,249.0,247.7,248.85,247.37,247.94,0.0,0.0,0.0,16461,237617
2015/12/01/13:00,248.85,249.0,248.2,248.3,248.06,247.84,0.0,0.0,0.0,14030,235880
2015/12/01/14:00,248.3,248.8,248.25,248.55,248.25,247.76,0.0,0.0,0.0,17183,234384
2015/12/01/15:00,248.55,248.7,248.4,248.5,248.42,247.66,0.0,0.0,0.0,7184,232715
2015/12/02/09:00,248.5,248.75,247.15,247.7,248.38,247.55,0.0,0.0,0.0,31869,232642
2015/12/02/10:00,247.7,247.9,247.2,247.85,248.18,247.43,0.0,0.0,0.0,17673,232284
2015/12/02/11:00,247.85,248.35,247.65,247.7,248.06,247.32,0.0,0.0,0.0,14935,231077
2015/12/02/12:00,247.75,247.85,247.35,247.55,247.86,247.19,0.0,0.0,0.0,10167,229084
2015/12/02/13:00,247.55,247.7,247.25,247.5,247.66,247.07,0.0,0.0,0.0,7939,233509
2015/12/02/14:00,247.55,247.7,246.8,246.95,247.51,246.94,0.0,0.0,0.0,19095,235208
2015/12/02/15:00,246.95,247.0,246.8,246.8,247.3,246.95,0.0,0.0,0.0,5516,234784
2015/12/03/09:00,245.35,245.45,242.9,243.1,246.38,246.81,0.0,0.0,0.0,56761,235268
2015/12/03/10:00,243.05,244.4,243.0,243.8,245.63,246.74,0.0,0.0,0.0,32252,234888
2015/12/03/11:00,243.85,244.25,243.65,244.05,244.94,246.73,0.0,0.0,0.0,14287,235662
2015/12/03/12:00,244.05,244.25,243.5,243.8,244.31,246.7,0.0,0.0,0.0,10004,233936
2015/12/03/13:00,243.8,244.2,243.75,244.1,243.77,246.66,0.0,0.0,0.0,10470,233107
2015/12/03/14:00,244.15,244.8,244.1,244.65,244.08,246.65,0.0,0.0,0.0,23123,230077
2015/12/03/15:00,244.65,245.0,244.55,244.6,244.24,246.5,0.0,0.0,0.0,6567,217178
2015/12/04/09:00,242.0,242.9,241.6,242.7,243.97,246.25,0.0,0.0,0.0,37526,214827
2015/12/04/10:00,242.75,243.3,242.25,242.45,243.7,245.98,0.0,0.0,0.0,25209,214369
2015/12/04/11:00,242.45,242.55,241.85,241.9,243.26,245.63,0.0,0.0,0.0,12928,211868
2015/12/04/12:00,241.95,242.35,241.85,242.0,242.73,245.31,0.0,0.0,0.0,9723,208120
2015/12/04/13:00,242.0,242.7,241.65,242.45,242.3,245.01,0.0,0.0,0.0,14611,193779
2015/12/04/14:00,242.45,242.8,241.4,242.0,242.16,244.68,0.0,0.0,0.0,22371,187620
2015/12/04/15:00,242.0,242.1,241.7,241.7,242.01,244.38,0.0,0.0,0.0,6518,181641
2015/12/07/09:00,243.5,243.75,242.05,242.3,242.09,244.11,0.0,0.0,0.0,37827,171218
2015/12/07/10:00,242.3,243.2,242.25,242.45,242.18,243.84,0.0,0.0,0.0,26137,165459
2015/12/07/11:00,242.45,242.45,241.85,242.25,242.14,243.58,0.0,0.0,0.0,17132,159542
2015/12/07/12:00,242.2,242.45,241.95,242.05,242.15,243.31,246.48,0.0,0.0,7062,154703
2015/12/07/13:00,242.05,242.25,242.0,242.25,242.26,243.07,246.39,0.0,0.0,6148,145936
2015/12/07/14:00,242.25,242.25,240.9,241.0,242.0,242.78,246.3,0.0,0.0,21771,130894
2015/12/07/15:00,241.0,241.5,240.9,241.5,241.81,242.7,246.21,0.0,0.0,7525,126470
2015/12/08/09:00,240.8,242.15,240.05,240.1,241.38,242.52,246.08,0.0,0.0,46703,125428
2015/12/08/10:00,240.05,240.6,239.65,240.3,241.03,242.33,245.97,0.0,0.0,34019,119192
2015/12/08/11:00,240.25,240.8,239.75,240.55,240.69,242.17,245.85,0.0,0.0,15200,106906
2015/12/08/12:00,240.5,240.55,240.05,240.1,240.51,241.97,245.73,0.0,0.0,12429,99284
2015/12/08/13:00,240.1,240.25,239.45,239.55,240.12,241.71,245.57,0.0,0.0,14390,90756
2015/12/08/14:00,239.6,240.3,239.55,239.8,240.06,241.47,245.4,0.0,0.0,17507,85675
2015/12/08/15:00,239.85,239.95,239.75,239.9,239.98,241.33,245.23,0.0,0.0,7190,80668
2015/12/09/09:00,239.95,240.65,239.4,240.0,239.87,241.21,245.07,0.0,0.0,41967,74072
2015/12/09/10:00,239.95,240.5,239.85,239.9,239.83,241.11,244.89,0.0,0.0,20619,69342
2015/12/09/11:00,239.85,240.0,239.35,239.55,239.83,240.99,244.71,0.0,0.0,12849,65383
2015/12/09/12:00,239.55,239.9,239.55,239.7,239.81,240.85,244.54,0.0,0.0,8033,66775
2015/12/09/13:00,239.65,240.45,239.65,240.15,239.86,240.76,244.37,0.0,0.0,11045,223571
2015/12/09/14:00,240.1,240.3,239.7,239.85,239.83,240.66,244.2,0.0,0.0,15273,224328
2015/12/09/15:00,239.9,239.95,239.75,239.95,239.84,240.55,244.03,0.0,0.0,4032,222241
2015/12/10/09:00,239.65,241.0,238.85,240.15,239.96,240.43,243.86,0.0,0.0,48654,222617
2015/12/10/10:00,240.15,240.4,239.6,240.15,240.05,240.33,243.7,0.0,0.0,27539,223321
2015/12/10/11:00,240.2,240.3,239.6,239.9,240.0,240.22,243.53,0.0,0.0,17844,222727
2015/12/10/12:00,239.9,240.2,239.85,240.0,240.03,240.11,243.37,0.0,0.0,8820,221896
2015/12/10/13:00,239.95,240.25,239.4,240.25,240.09,240.07,243.27,0.0,0.0,17748,222379
2015/12/10/14:00,240.25,242.0,240.1,242.0,240.46,240.09,243.2,0.0,0.0,33520,222560
2015/12/11/09:00,237.3,239.85,237.3,238.7,240.17,240.02,243.09,0.0,0.0,46118,222366
2015/12/11/10:00,238.7,238.85,237.75,238.05,239.8,239.91,242.99,0.0,0.0,17666,222465
2015/12/11/11:00,238.05,238.05,237.45,237.5,239.3,239.76,242.87,0.0,0.0,10688,221809
2015/12/11/12:00,237.5,237.95,237.3,237.7,238.79,239.64,242.75,0.0,0.0,8083,222388
2015/12/11/13:00,237.7,237.95,237.55,237.9,237.97,239.56,242.64,0.0,0.0,5684,221605
2015/12/11/14:00,237.9,238.1,237.6,237.95,237.82,239.46,242.48,0.0,0.0,11097,220516
2015/12/11/15:00,238.0,238.2,237.85,238.0,237.81,239.37,242.32,0.0,0.0,3709,220698
2015/12/14/09:00,235.75,235.85,234.25,234.95,237.3,239.12,242.1,0.0,0.0,41709,219992
2015/12/14/10:00,235.0,236.1,234.65,235.9,236.94,238.92,241.88,0.0,0.0,20529,220659
2015/12/14/11:00,235.9,236.1,235.55,235.7,236.5,238.72,241.67,0.0,0.0,9378,221301
2015/12/14/12:00,235.7,236.2,235.4,236.2,236.15,238.55,241.47,0.0,0.0,7987,222262
2015/12/14/13:00,236.2,236.3,235.6,235.7,235.69,238.33,241.25,0.0,0.0,9499,220782
2015/12/14/14:00,235.7,236.3,235.45,236.15,235.93,238.14,241.06,0.0,0.0,14875,227018
2015/12/14/15:00,236.1,236.35,236.1,236.3,236.01,237.96,240.87,0.0,0.0,4456,226226
2015/12/15/09:00,236.9,237.35,236.2,236.7,236.21,237.79,240.69,0.0,0.0,33001,228590
2015/12/15/10:00,236.7,236.8,236.25,236.35,236.24,237.6,240.5,0.0,0.0,12556,228239
2015/12/15/11:00,236.35,236.75,236.05,236.55,236.41,237.43,240.32,0.0,0.0,8426,228457
2015/12/15/12:00,236.6,236.75,236.45,236.5,236.48,237.25,240.14,0.0,0.0,4669,228393
2015/12/15/13:00,236.55,236.75,236.25,236.55,236.53,237.07,239.97,0.0,0.0,7656,228510
