term,ensemble,self-reflection,pred_term,width,profit_rate,MDD,product
2021/12/31/15:00,20HL_5C_5P_,0,19,32,2.574621605,0.427845286,1.806843712
2022/01/31/15:00,20P_40C_5HL_,0.11,13,43,3.364345712,0.411638176,6.636857445
2022/02/28/15:00,10HL_25HL_40P_,0.25,29,62,1.80736818,0.439460206,1.197389547
2022/03/31/15:00,10P_20P_40C_,0.08,9,20,2.781115153,0.418476812,2.482975984
2022/04/30/15:00,25C_30HL_5HL_,0.19,23,58,3.048684394,0.381335232,2.904758249
2022/05/31/15:00,20HL_40HL_5HL_,0.04,14,22,2.97617536,0.490027607,3.404160038
2022/06/30/15:00,15P_40HL_5P_,0.06,9,14,2.748383406,0.390218556,2.964764462
2022/07/31/15:00,40C_40HL_5C_,0.01,29,34,1.935636914,0.474225384,0.835106812
2022/08/31/15:00,10C_40P_5HL_,0.28,32,19,2.15102418,0.463941284,0.68774271
2022/09/30/15:00,10HL_10P_15P_,0.08,12,16,2.842124875,0.483208071,2.340400849
2022/10/31/15:00,20C_40C_5HL_,0.19,19,23,2.909627451,0.399927764,1.222472538
2022/11/30/15:00,40P_5C_5HL_,0.25,13,56,3.216981307,0.352105376,2.317133949
