term,ensemble,self-reflection,pred_term,width,profit_rates,MDD,profit_product
2023/01/15/15:00,"['25HL', '30P', '5C']",0.31,10,30,1.125578449,0.038400707,1.130472558
2023/01/31/15:00,"['15HL', '25HL', '30C']",0.29,40,10,1.139015767,0.053775041,1.145073519
2023/02/15/15:00,"['10P', '20P', '5C']",0.31,10,20,1.13253332,0.042891725,1.137828453
2023/02/28/15:00,"['15HL', '30C', '40P']",0.3,25,10,1.144621381,0.041918458,1.15283364
2023/03/15/15:00,"['20P', '30C', '5HL']",0.28,10,60,1.143080437,0.042403356,1.149517788
2023/03/31/15:00,"['30HL', '5HL', '5P']",0.2,20,20,1.156952476,0.05654724,1.166233687
2023/04/15/15:00,"['20C', '30C', '40P']",0.3,10,60,1.264447613,0.035139374,1.297524805
2023/04/30/15:00,"['15HL', '30C', '40P']",0.26,20,30,1.179677261,0.047927309,1.1929786
2023/05/15/15:00,"['25C', '40HL', '40P']",0.04,35,20,1.21819948,0.034933666,1.2405163
2023/05/31/15:00,"['25C', '30P', '40P']",0.12,40,70,1.198511339,0.046361373,1.215228714
2023/06/15/15:00,"['20C', '25C', '40C']",0.19,15,10,1.173834661,0.043596103,1.18673156
2023/06/30/15:00,"['15HL', '30P', '40P']",0.13,30,20,1.133667911,0.051426607,1.140546923
2023/07/15/15:00,"['25C', '25P', '40P']",0.16,20,70,1.222395396,0.028325075,1.2458328
2023/07/31/15:00,"['20C', '30P', '5P']",0.16,20,40,1.208709045,0.026776357,1.229737097
2023/08/15/15:00,"['40HL', '5C', '5P']",0.19,15,20,1.200664025,0.029547294,1.219853542
2023/08/31/15:00,"['20HL', '30C', '5P']",0.29,10,70,1.166794977,0.028331321,1.178815796
2023/09/15/15:00,"['30C', '30HL', '30P']",0.32,15,20,1.166894714,0.028695697,1.177998191
2023/09/30/15:00,"['15P', '30HL', '5HL']",0.13,35,10,1.186544704,0.021632121,1.201943219
2023/10/15/15:00,"['15P', '20C', '30C']",0.29,35,10,1.132860664,0.0323329,1.138641967
2023/10/31/15:00,"['15HL', '20HL', '25P']",0.19,10,10,1.166061309,0.023334782,1.178196181
2023/11/15/15:00,"['10HL', '15P', '40HL']",0.13,25,10,1.175667722,0.029054335,1.188203651
2023/11/30/15:00,"['20P', '25P', '30HL']",0.12,30,50,1.172373381,0.030961027,1.184860868
2023/12/15/15:00,"['15P', '25HL', '5P']",0.12,40,40,1.161593116,0.027311418,1.173058882
