dates,model0,model1,model2,model3,model4,model5,model6,model7,model8,model9
2024/01/02/10:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2024/01/02/11:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2024/01/02/12:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2024/01/02/13:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2024/01/02/14:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2024/01/02/15:00,1.0,0.9554720044875478,0.9554720044875478,1.0138989042954134,1.0,1.0138989042954134,0.9554720044875478,0.9554720044875478,1.0,0.9554720044875478
2024/01/03/09:00,1.0,0.9554720044875478,0.9554720044875478,1.0138989042954134,1.0,1.0138989042954134,0.9554720044875478,0.9554720044875478,1.0,0.9554720044875478
2024/01/03/10:00,1.0,0.9554720044875478,0.9554720044875478,1.0138989042954134,1.0,1.0138989042954134,0.9554720044875478,0.9554720044875478,1.0,0.9554720044875478
2024/01/03/11:00,1.0,0.9554720044875478,0.9554720044875478,1.0138989042954134,1.0,1.0138989042954134,0.9554720044875478,0.9554720044875478,1.0,0.9554720044875478
2024/01/03/12:00,1.0,0.9554720044875478,0.9554720044875478,1.0138989042954134,1.0,1.0138989042954134,0.9554720044875478,0.9554720044875478,1.0,0.9554720044875478
2024/01/03/13:00,1.0,0.9554720044875478,0.9554720044875478,1.0138989042954134,1.0,1.0138989042954134,0.9554720044875478,0.9554720044875478,1.0,0.9554720044875478
2024/01/03/14:00,1.0,0.9554720044875478,0.9554720044875478,1.0138989042954134,1.0,1.0138989042954134,0.9554720044875478,0.9554720044875478,1.0,0.9554720044875478
2024/01/03/15:00,1.0804550628350889,1.0911047174939537,1.0359270673226366,1.0943539671305023,1.0804550628350889,1.0943539671305023,1.0911047174939537,1.0359270673226366,1.135632713006406,1.0359270673226366
2024/01/04/09:00,1.0804550628350889,1.0911047174939537,1.0359270673226366,1.0943539671305023,1.0804550628350889,1.0943539671305023,1.0911047174939537,1.0359270673226366,1.135632713006406,1.0359270673226366
2024/01/04/10:00,1.0804550628350889,1.0911047174939537,1.0359270673226366,1.0943539671305023,1.0804550628350889,1.0943539671305023,1.0911047174939537,1.0359270673226366,1.135632713006406,1.0359270673226366
2024/01/04/11:00,1.0804550628350889,1.0911047174939537,1.0359270673226366,1.0943539671305023,1.0804550628350889,1.0943539671305023,1.0911047174939537,1.0359270673226366,1.135632713006406,1.0359270673226366
2024/01/04/12:00,1.0804550628350889,1.0911047174939537,1.0359270673226366,1.0943539671305023,1.0804550628350889,1.0943539671305023,1.0911047174939537,1.0359270673226366,1.135632713006406,1.0359270673226366
2024/01/04/13:00,1.0804550628350889,1.0911047174939537,1.0359270673226366,1.0943539671305023,1.0804550628350889,1.0943539671305023,1.0911047174939537,1.0359270673226366,1.135632713006406,1.0359270673226366
2024/01/04/14:00,1.0804550628350889,1.0911047174939537,1.0359270673226366,1.0943539671305023,1.0804550628350889,1.0943539671305023,1.0911047174939537,1.0359270673226366,1.135632713006406,1.0359270673226366
2024/01/04/15:00,1.1560478388695206,1.1666974935283854,1.1115198433570685,1.169946743164934,1.1560478388695206,1.169946743164934,1.0952911227184456,1.1115198433570685,1.2112254890408378,1.1115198433570685
2024/01/05/09:00,1.1560478388695206,1.1666974935283854,1.1115198433570685,1.169946743164934,1.1560478388695206,1.169946743164934,1.0952911227184456,1.1115198433570685,1.2112254890408378,1.1115198433570685
2024/01/05/10:00,1.1560478388695206,1.1666974935283854,1.1115198433570685,1.169946743164934,1.1560478388695206,1.169946743164934,1.0605275272825474,1.1115198433570685,1.2112254890408378,1.1115198433570685
2024/01/05/11:00,1.1560478388695206,1.1666974935283854,1.1115198433570685,1.169946743164934,1.1560478388695206,1.169946743164934,1.0605275272825474,1.1115198433570685,1.2112254890408378,1.1115198433570685
2024/01/05/12:00,1.1488747238984482,1.1666974935283854,1.1115198433570685,1.169946743164934,1.1560478388695206,1.169946743164934,1.0605275272825474,1.1115198433570685,1.2112254890408378,1.1115198433570685
2024/01/05/13:00,1.1141127838417164,1.1666974935283854,1.1115198433570685,1.169946743164934,1.1560478388695206,1.169946743164934,1.0605275272825474,1.1115198433570685,1.176463548984106,1.1115198433570685
2024/01/05/14:00,1.1141127838417164,1.1666974935283854,1.1115198433570685,1.169946743164934,1.1560478388695206,1.169946743164934,1.0605275272825474,1.1115198433570685,1.176463548984106,1.1115198433570685
2024/01/05/15:00,1.1166791408844534,1.23093298899789,1.175755338826573,1.2341822386344385,1.2202833343390251,1.2341822386344385,1.0906827094109437,1.1416750254854648,1.1790299060268428,1.175755338826573
2024/01/08/09:00,1.1166791408844534,1.23093298899789,1.175755338826573,1.2341822386344385,1.2202833343390251,1.2341822386344385,1.0906827094109437,1.1416750254854648,1.1790299060268428,1.175755338826573
2024/01/08/10:00,1.1166791408844534,1.23093298899789,1.175755338826573,1.2341822386344385,1.2202833343390251,1.2341822386344385,1.0906827094109437,1.1416750254854648,1.1790299060268428,1.175755338826573
2024/01/08/11:00,1.1166791408844534,1.23093298899789,1.175755338826573,1.2341822386344385,1.2202833343390251,1.2341822386344385,1.038068689775501,1.089061005850022,1.1790299060268428,1.175755338826573
2024/01/08/12:00,1.1166791408844534,1.23093298899789,1.175755338826573,1.2341822386344385,1.2202833343390251,1.2341822386344385,1.038068689775501,1.089061005850022,1.1790299060268428,1.175755338826573
2024/01/08/13:00,1.1166791408844534,1.23093298899789,1.175755338826573,1.2341822386344385,1.2202833343390251,1.2341822386344385,1.038068689775501,1.089061005850022,1.1790299060268428,1.175755338826573
2024/01/08/14:00,1.1166791408844534,1.23093298899789,1.175755338826573,1.2341822386344385,1.2202833343390251,1.2341822386344385,1.038068689775501,1.089061005850022,1.1790299060268428,1.175755338826573
2024/01/08/15:00,1.151705470960808,1.3113997368623895,1.2562220866910725,1.3146489864989381,1.3007500822035247,1.2692085687107932,1.0730950198518556,1.1240873359263768,1.2140562361031975,1.2562220866910725
2024/01/09/09:00,1.151705470960808,1.3113997368623895,1.2562220866910725,1.3146489864989381,1.3007500822035247,1.2692085687107932,1.0730950198518556,1.1240873359263768,1.2140562361031975,1.2562220866910725
2024/01/09/10:00,1.151705470960808,1.3113997368623895,1.1727715503373453,1.2311984501452107,1.2172995458497975,1.2692085687107932,1.0730950198518556,1.1240873359263768,1.2140562361031975,1.1727715503373453
2024/01/09/11:00,1.151705470960808,1.3113997368623895,1.1727715503373453,1.2311984501452107,1.2172995458497975,1.2692085687107932,1.0730950198518556,1.1240873359263768,1.2140562361031975,1.1727715503373453
2024/01/09/12:00,1.151705470960808,1.3113997368623895,1.1727715503373453,1.2311984501452107,1.2172995458497975,1.2692085687107932,1.0730950198518556,1.1240873359263768,1.2140562361031975,1.1727715503373453
2024/01/09/13:00,1.151705470960808,1.3113997368623895,1.1727715503373453,1.2311984501452107,1.2172995458497975,1.2692085687107932,1.0730950198518556,1.1240873359263768,1.2140562361031975,1.1727715503373453
2024/01/09/14:00,1.151705470960808,1.3113997368623895,1.1727715503373453,1.2311984501452107,1.2172995458497975,1.2692085687107932,1.0730950198518556,1.1240873359263768,1.2140562361031975,1.1727715503373453
2024/01/09/15:00,1.2273059396396018,1.46976668079816,1.248372019016139,1.3067989188240046,1.2929000145285912,1.3448090373895871,1.231461963787626,1.1996878046051707,1.2393476708022604,1.248372019016139
2024/01/10/09:00,1.2273059396396018,1.46976668079816,1.248372019016139,1.3067989188240046,1.2929000145285912,1.3448090373895871,1.231461963787626,1.1996878046051707,1.2393476708022604,1.248372019016139
2024/01/10/10:00,1.2273059396396018,1.46976668079816,1.248372019016139,1.3067989188240046,1.2929000145285912,1.3448090373895871,1.231461963787626,1.1996878046051707,1.2393476708022604,1.248372019016139
2024/01/10/11:00,1.2273059396396018,1.46976668079816,1.248372019016139,1.3067989188240046,1.2929000145285912,1.3448090373895871,1.231461963787626,1.1996878046051707,1.2393476708022604,1.248372019016139
2024/01/10/12:00,1.2273059396396018,1.46976668079816,1.248372019016139,1.3067989188240046,1.2929000145285912,1.3448090373895871,1.231461963787626,1.1996878046051707,1.2393476708022604,1.248372019016139
2024/01/10/13:00,1.2273059396396018,1.46976668079816,1.248372019016139,1.3067989188240046,1.2929000145285912,1.3448090373895871,1.231461963787626,1.1996878046051707,1.2393476708022604,1.248372019016139
2024/01/10/14:00,1.2273059396396018,1.46976668079816,1.248372019016139,1.3067989188240046,1.2929000145285912,1.3448090373895871,1.231461963787626,1.1996878046051707,1.2393476708022604,1.248372019016139
2024/01/10/15:00,1.3045363887751515,1.5469971299337097,1.3256024681516887,1.3840293679595543,1.370130463664141,1.422039486525137,1.3086924129231758,1.2769182537407204,1.2906121669160133,1.3256024681516887
