date,시가,고가,저가,종가,PDI,MDI,ADX,SlowK,SlowD,거래량,미결제
2015/11/25/09:00,247.6,247.7,247.25,247.4,47.2826087,11.95652174,59.63302752,80.77348,63.09976479,16567,236517
2015/11/25/10:00,247.4,247.55,246.45,246.75,47.2826087,11.95652174,59.63302752,80.77348,63.09976479,20465,236857
2015/11/25/11:00,246.75,247.1,246.65,246.9,47.2826087,11.95652174,59.63302752,80.77348,63.09976479,11644,238658
2015/11/25/12:00,246.9,247.55,246.8,247.4,47.2826087,11.95652174,59.63302752,80.77348,63.09976479,9304,238368
2015/11/25/13:00,247.45,247.65,247.3,247.35,47.2826087,11.95652174,59.63302752,80.77348,63.09976479,7582,238430
2015/11/25/14:00,247.35,247.5,247.1,247.35,47.2826087,11.95652174,59.63302752,80.77348,63.09976479,11231,238079
2015/11/25/15:00,247.35,247.4,247.25,247.35,47.2826087,11.95652174,59.63302752,80.77348,63.09976479,3830,238494
2015/11/26/09:00,247.6,249.75,247.5,249.4,47.2826087,11.95652174,59.63302752,80.77348,63.09976479,35369,239752
2015/11/26/10:00,249.45,250.05,249.3,249.8,47.2826087,11.95652174,59.63302752,80.77348,63.09976479,17524,241955
2015/11/26/11:00,249.85,250.1,249.55,249.95,47.2826087,11.95652174,59.63302752,80.77348,63.09976479,10803,243646
2015/11/26/12:00,250,250.25,249.85,250,47.2826087,11.95652174,59.63302752,80.77348,63.09976479,7500,242449
2015/11/26/13:00,250,250.55,249.95,250.4,47.2826087,11.95652174,59.63302752,80.77348,63.09976479,9420,240419
2015/11/26/14:00,250.4,250.6,250.2,250.25,47.2826087,11.95652174,59.63302752,80.77348,63.09976479,15629,239510
2015/11/26/15:00,250.3,250.3,250.1,250.3,47.2826087,11.95652174,59.63302752,80.77348,63.09976479,4967,239134
2015/11/27/09:00,250.5,250.9,250.2,250.35,47.2826087,11.95652174,59.63302752,80.77348,63.09976479,19910,239829
2015/11/27/10:00,250.3,250.6,249.9,250.05,49.43181818,6.818181818,75.75757576,80.77348,63.09976479,15444,240420
2015/11/27/11:00,250.1,250.35,250,250.1,50,6.896551724,75.75757576,80.77348,63.09976479,9771,239961
2015/11/27/12:00,250.15,250.15,249.9,249.95,47.56097561,8.536585366,69.56521739,80.77348,63.09976479,5613,237936
2015/11/27/13:00,250,250.1,249.7,250.1,46.06060606,10.90909091,61.70212766,80.77348,63.09976479,7981,240522
2015/11/27/14:00,250.05,250.1,249.75,249.9,46.34146341,8.536585366,68.88888889,80.77348,63.09976479,10802,240031
2015/11/27/15:00,249.9,249.95,249.7,249.7,45.78313253,9.036144578,67.03296703,74.11235735,63.09976479,4148,239720
2015/11/30/09:00,248.7,248.8,246.2,246.55,15.42553191,45.21276596,49.12280702,65.28697612,63.09976479,42002,240058
2015/11/30/10:00,246.5,246.75,245.7,245.85,11.8556701,48.96907216,61.01694915,54.32182188,63.09976479,28089,239456
2015/11/30/11:00,245.85,246.15,245.1,245.2,10.78431373,52.45098039,65.89147287,41.00418863,63.09976479,20181,236904
2015/11/30/12:00,245.25,245.3,244.25,244.3,8.755760369,57.14285714,73.42657343,28.1800452,52.58107783,19242,235040
2015/11/30/13:00,244.3,244.5,243.85,244.35,5.963302752,60.55045872,82.06896552,17.85596398,41.32979916,18831,236781
2015/11/30/14:00,244.4,245.65,244.15,245,14.58333333,55,58.08383234,10.7755143,30.4275068,39672,235527
2015/11/30/15:00,245,245.05,244.45,244.85,14.11290323,52.41935484,57.57575758,7.038584118,20.97085924,10522,236390
2015/12/01/09:00,245.6,248.05,245.55,247.6,27.85234899,43.62416107,22.0657277,8.603498809,14.49072128,51811,237441
2015/12/01/10:00,247.55,248,247.15,247.65,27.57475083,41.19601329,19.80676329,14.04026313,11.66276487,30659,237651
2015/12/01/11:00,247.65,248.15,247.45,247.9,27.92207792,40.25974026,18.0952381,21.946096,12.48079127,14514,238362
2015/12/01/12:00,247.9,249,247.7,248.85,31.30699088,37.08206687,8.444444444,32.06552677,16.73879377,16461,237617
2015/12/01/13:00,248.85,249,248.2,248.3,30.56379822,35.0148368,6.787330317,44.52588361,24.23625366,14030,235880
2015/12/01/14:00,248.3,248.8,248.25,248.55,30.20527859,34.60410557,6.787330317,55.94378665,33.70431123,17183,234384
2015/12/01/15:00,248.55,248.7,248.4,248.5,30.11695906,34.21052632,6.363636364,66.13941535,44.12414168,7184,232715
2015/12/02/09:00,248.5,248.75,247.15,247.7,33.88157895,23.68421053,17.71428571,74.42502326,54.61992713,31869,232642
2015/12/02/10:00,247.7,247.9,247.2,247.85,34.68013468,20.87542088,24.84848485,79.94153172,64.19512812,17673,232284
2015/12/02/11:00,247.85,248.35,247.65,247.7,38.62068966,17.24137931,38.27160494,82.08863849,71.70767909,14935,231077
2015/12/02/12:00,247.75,247.85,247.35,247.55,40.14336918,13.97849462,48.34437086,82.04100149,76.92712206,10167,229084
2015/12/02/13:00,247.55,247.7,247.25,247.5,40.72727273,12,54.48275862,79.46293308,79.59182561,7939,233509
2015/12/02/14:00,247.55,247.7,246.8,246.95,33.84030418,15.96958175,35.8778626,73.76900943,79.46062284,19095,235208
2015/12/02/15:00,246.95,247,246.8,246.8,34.90196078,16.47058824,35.8778626,65.14018206,76.50035291,5516,234784
2015/12/03/09:00,245.35,245.45,242.9,243.1,10.78066914,44.60966543,61.0738255,54.24314281,70.93125377,56761,235268
2015/12/03/10:00,243.05,244.4,243,243.8,10.35714286,42.85714286,61.0738255,42.13620348,62.95029417,32252,234888
2015/12/03/11:00,243.85,244.25,243.65,244.05,9.352517986,43.16546763,64.38356164,29.89883653,53.03747486,14287,235662
2015/12/03/12:00,244.05,244.25,243.5,243.8,3.370786517,46.06741573,86.36363636,20.72169091,42.42801116,10004,233936
2015/12/03/13:00,243.8,244.2,243.75,244.1,3.461538462,47.30769231,86.36363636,15.47185422,32.49434559,10470,233107
2015/12/03/14:00,244.15,244.8,244.1,244.65,7.984790875,46.76806084,70.83333333,14.17196117,24.48010926,23123,230077
2015/12/03/15:00,244.65,245,244.55,244.6,9.398496241,46.2406015,66.21621622,15.6647214,19.18581285,6567,217178
2015/12/04/09:00,242,242.9,241.6,242.7,8.503401361,53.40136054,72.52747253,18.56302917,16.91865137,37526,214827
2015/12/04/10:00,242.75,243.3,242.25,242.45,10.96345515,52.15946844,65.26315789,21.06067202,16.9864476,25209,214369
2015/12/04/11:00,242.45,242.55,241.85,241.9,7.973421927,54.81727575,74.6031746,22.11401054,18.31487886,12928,211868
2015/12/04/12:00,241.95,242.35,241.85,242,7.973421927,52.82392027,73.7704918,21.02598557,19.68568374,9723,208120
2015/12/04/13:00,242,242.7,241.65,242.45,9.904153355,50.15974441,67.0212766,18.91582856,20.33590517,14611,193779
2015/12/04/14:00,242.45,242.8,241.4,242,9.59752322,47.36842105,66.30434783,16.84399924,19.99209919,22371,187620
2015/12/04/15:00,242,242.1,241.7,241.7,9.480122324,46.78899083,66.30434783,14.60613377,18.70119154,6518,181641
2015/12/07/09:00,243.5,243.75,242.05,242.3,22.06896552,25.86206897,7.913669065,13.7953385,17.03745713,37827,171218
2015/12/07/10:00,242.3,243.2,242.25,242.45,22.77580071,26.69039146,7.913669065,14.84302097,15.80086421,26137,165459
2015/12/07/11:00,242.45,242.45,241.85,242.25,22.77580071,29.53736655,12.92517007,16.31662054,15.2810226,17132,159542
2015/12/07/12:00,242.2,242.45,241.95,242.05,23.1884058,28.98550725,11.11111111,17.883109,15.48884455,7062,154703
2015/12/07/13:00,242.05,242.25,242,242.25,23.52941176,29.41176471,11.11111111,20.78711635,16.72504107,6148,145936
2015/12/07/14:00,242.25,242.25,240.9,241,18.24561404,35.78947368,32.46753247,22.02819589,18.37161255,21771,130894
2015/12/07/15:00,241,241.5,240.9,241.5,16.66666667,35.41666667,36,22.07434366,19.81787709,7525,126470
2015/12/08/09:00,240.8,242.15,240.05,240.1,17.77777778,22.22222222,11.11111111,21.16877348,20.78830768,46703,125428
2015/12/08/10:00,240.05,240.6,239.65,240.3,14.92537313,25.37313433,25.92592593,20.11957186,21.23560025,34019,119192
2015/12/08/11:00,240.25,240.8,239.75,240.55,16,21.81818182,15.38461538,17.38813533,20.55580404,15200,106906
2015/12/08/12:00,240.5,240.55,240.05,240.1,16,21.81818182,15.38461538,15.81502144,19.31316915,12429,99284
2015/12/08/13:00,240.1,240.25,239.45,239.55,13.7037037,26.66666667,32.11009174,13.81738694,17.66177781,14390,90756
2015/12/08/14:00,239.6,240.3,239.55,239.8,14.78599222,26.07003891,27.61904762,13.02942212,16.03390754,17507,85675
2015/12/08/15:00,239.85,239.95,239.75,239.9,15.01976285,26.48221344,27.61904762,12.29538683,14.46907053,7190,80668
2015/12/09/09:00,239.95,240.65,239.4,240,8.016877637,28.27004219,55.81395349,12.03894774,13.39923301,41967,74072
2015/12/09/10:00,239.95,240.5,239.85,239.9,8.225108225,29.004329,55.81395349,11.74656513,12.58554175,20619,69342
2015/12/09/11:00,239.85,240,239.35,239.55,8.189655172,29.74137931,56.81818182,12.38610334,12.29928503,12849,65383
