date,시가,고가,저가,종가,PDI,MDI,ADX,SlowK,SlowD,거래량,미결제
2025/08/01/00:00,435.15,435.65,434.6,434.9,14.66960642,30.5083922,22.58082979,4.951856946,6.196175447,1226,260750
2025/08/01/01:00,434.95,435.45,434.95,435.25,13.71425621,28.52154961,24.24453601,6.074766355,6.15570575,528,260687
2025/08/01/02:00,435.2,435.2,433.6,433.8,11.19137525,38.32602291,28.31835917,7.130434783,6.480615427,1138,260697
2025/08/01/03:00,433.75,434.2,432.95,433.5,9.641050023,40.22025942,32.71971562,7.578558226,6.84659636,1079,260607
2025/08/01/04:00,433.5,434,433.3,433.8,8.848971755,36.91588974,36.53422455,9.751434034,7.814875585,812,260560
2025/08/01/05:00,433.8,434.25,433.15,433.45,10.64832134,32.12967053,38.35844656,10.53639847,8.722049879,372,260596
2025/08/02/00:00,419.45,420.7,418.85,420.6,10.34510615,37.06162945,73.96614274,20.55335968,15.54048308,2159,266259
2025/08/02/01:00,420.55,421.1,419.25,419.4,11.74726084,32.45327881,70.35007339,23.84898711,18.30998443,1630,266211
2025/08/02/02:00,419.35,419.7,418.65,418.9,10.86270647,34.31237384,67.89118537,26.2979684,20.97264575,1304,266388
2025/08/02/03:00,418.9,420.1,418.55,419.3,12.5614584,30.41186492,64.37747307,33.46303502,25.13610884,1441,266324
2025/08/02/04:00,419.3,420.1,418.9,419.8,11.40346811,27.6083175,61.33225575,40.27355623,30.18192464,1243,266398
2025/08/02/05:00,419.8,419.95,419.5,419.5,10.96605243,26.54931415,58.69306741,44.02173913,34.79519613,270,266443
2025/08/05/00:00,426.9,427.45,426.75,427.35,36.75994378,7.275984733,60.45982134,90.6462585,89.90251592,1090,267290
2025/08/05/01:00,427.35,427.5,427.2,427.3,35.97576326,6.992024805,61.39245505,91.64926931,90.48476705,451,267307
2025/08/05/02:00,427.35,427.7,427.3,427.45,36.77010661,6.595991244,62.48412294,89.72972973,90.23308794,419,267238
2025/08/05/03:00,427.45,427.7,427.4,427.6,35.05199662,6.287788753,63.43023511,88.88888889,89.78502159,209,267198
2025/08/05/04:00,427.6,428.1,427.55,427.95,38.44095518,5.722190895,64.85102063,91.69435216,90.42146511,711,267043
2025/08/05/05:00,428,428.5,427.95,428.5,41.66493193,5.184127558,66.58672567,93.43065693,91.42452905,334,267059
2025/08/06/00:00,429.85,430.35,429.6,430.2,22.27155562,25.96545152,37.95519966,54.83193277,56.4104516,1569,264507
2025/08/06/01:00,430.2,431,430.1,430.55,27.7909641,23.09634199,34.12457662,54.90196078,55.90762133,850,264503
2025/08/06/02:00,430.55,431.2,430.45,431.15,27.68298321,20.87810019,31.44303813,60.58823529,57.46782599,435,264508
2025/08/06/03:00,431.1,431.15,430.3,430.55,24.59409558,20.51757821,28.4555,56.31399317,57.08321505,478,264493
2025/08/06/04:00,430.55,430.75,430.35,430.45,23.18913926,19.34549603,25.86630028,56.50557621,56.89066877,386,264524
2025/08/06/05:00,430.5,430.5,429.85,430,20.9456356,24.91601384,23.57176623,51.02880658,54.93671471,338,264567
2025/08/07/00:00,430.9,431.35,430.65,431.3,21.1830258,17.68309633,13.99918385,86.47798742,84.1237424,1191,266572
2025/08/07/01:00,431.25,431.6,431.15,431.35,23.9332958,16.26820805,14.67484856,87.32876712,85.19208397,736,266550
2025/08/07/02:00,431.4,431.85,431.35,431.6,26.35847948,14.75465297,16.48142025,89.05660377,86.48025724,478,266503
2025/08/07/03:00,431.55,432.25,431.55,432.05,30.38061704,12.82688154,19.7007769,90.33613445,87.76554965,582,266529
2025/08/07/04:00,432.1,432.55,432.1,432.2,33.26005019,11.57992282,23.52067344,90.83333333,88.78814421,536,266605
2025/08/07/05:00,432.2,432.8,432.2,432.5,34.25737543,10.20613,27.59686413,89.02439024,88.86689289,285,266628
2025/08/08/00:00,434.2,434.35,433.65,434,18.52171229,31.42152869,29.11238576,73.85620915,83.0507471,1106,266037
2025/08/08/01:00,434,434.3,433.4,433.95,15.97906556,30.92131731,29.47867456,62.18905473,76.09684964,1193,265983
2025/08/08/02:00,433.95,434.25,433.45,434.05,14.00690424,27.10495986,29.79612485,47.24637681,66.48002537,673,266001
2025/08/08/03:00,434.05,434.05,433.4,433.85,12.55427743,25.09171421,30.26377627,33.02180685,55.32728586,631,266002
2025/08/08/04:00,433.85,434.35,433.4,434.25,15.38625115,21.3566126,28.39514434,28.28282828,46.31246667,711,265865
2025/08/08/05:00,434.25,434.55,434.25,434.25,18.02458528,20.2578329,25.38693998,24.36363636,38.9961899,271,265857
2025/08/09/00:00,434.65,435.35,434.65,435.25,29.62898242,13.96206921,17.88183864,53.80835381,45.44687188,1504,267672
2025/08/09/01:00,435.25,435.55,435.2,435.3,31.34482547,13.09135509,20.97465299,61.79487179,50.89620518,691,267717
2025/08/09/02:00,435.3,436.05,435.15,435.95,35.1251212,11.04725342,25.13106976,74.67362924,58.8220132,574,267658
2025/08/09/03:00,435.95,436.15,435.9,436.15,35.35745858,10.52073984,28.99842205,85.14588859,67.59663833,497,267625
2025/08/09/04:00,436.15,436.35,435.7,436.1,30.93443991,9.20465462,32.35012737,91.50141643,75.5648977,813,267621
2025/08/09/05:00,436.15,436.7,436.15,436.6,34.15577544,8.122447374,36.24693864,95.84569733,82.32516424,346,267577
2025/08/12/00:00,433.65,433.95,433.55,433.85,18.03563082,26.56744447,33.75973396,41.04234528,35.55652916,590,269291
2025/08/12/01:00,433.8,434.3,433.5,433.65,21.54145226,22.94531725,29.6791949,47.30769231,39.47358355,592,269258
2025/08/12/02:00,433.6,433.65,433.4,433.55,20.53209456,23.74444051,26.68932734,47.00460829,41.98392513,259,269260
2025/08/12/03:00,433.55,433.65,433.25,433.55,18.89738804,24.83961873,24.9422539,39.26701571,41.07828865,433,269215
2025/08/12/04:00,433.55,433.65,433.1,433.45,16.77805696,25.11249044,24.26938509,40.11299435,40.75652389,503,269150
2025/08/12/05:00,433.45,433.45,433.1,433.1,15.50154395,23.20187464,23.68623212,34.35582822,38.62295866,185,269125
