date,시가,고가,저가,종가,SlowK_3,SlowD_3,SlowK_6,SlowD_6,SlowK_12,SlowD_12,거래량,미결제
2015/11/25/09:00,247.6,247.7,247.25,247.4,17.65432099,11.24908011,78.16999573,53.58377684,46.19858799,49.04400061,16567.0,236517.0
2015/11/25/10:00,247.4,247.55,246.45,246.75,17.65432099,11.24908011,78.16999573,53.58377684,46.19858799,49.04400061,20465.0,236857.0
2015/11/25/11:00,246.75,247.1,246.65,246.9,17.65432099,11.24908011,78.16999573,53.58377684,46.19858799,49.04400061,11644.0,238658.0
2015/11/25/12:00,246.9,247.55,246.8,247.4,17.65432099,11.24908011,78.16999573,53.58377684,46.19858799,49.04400061,9304.0,238368.0
2015/11/25/13:00,247.45,247.65,247.3,247.35,17.65432099,11.24908011,78.16999573,53.58377684,46.19858799,49.04400061,7582.0,238430.0
2015/11/25/14:00,247.35,247.5,247.1,247.35,17.65432099,11.24908011,78.16999573,53.58377684,46.19858799,49.04400061,11231.0,238079.0
2015/11/25/15:00,247.35,247.4,247.25,247.35,17.65432099,11.24908011,78.16999573,53.58377684,46.19858799,49.04400061,3830.0,238494.0
2015/11/26/09:00,247.6,249.75,247.5,249.4,17.65432099,11.24908011,78.16999573,53.58377684,46.19858799,49.04400061,35369.0,239752.0
2015/11/26/10:00,249.45,250.05,249.3,249.8,17.65432099,11.24908011,78.16999573,53.58377684,46.19858799,49.04400061,17524.0,241955.0
2015/11/26/11:00,249.85,250.1,249.55,249.95,17.65432099,11.24908011,78.16999573,53.58377684,46.19858799,49.04400061,10803.0,243646.0
2015/11/26/12:00,250.0,250.25,249.85,250.0,17.65432099,11.24908011,78.16999573,53.58377684,46.19858799,49.04400061,7500.0,242449.0
2015/11/26/13:00,250.0,250.55,249.95,250.4,17.65432099,11.24908011,78.16999573,53.58377684,46.19858799,49.04400061,9420.0,240419.0
2015/11/26/14:00,250.4,250.6,250.2,250.25,17.65432099,11.24908011,78.16999573,53.58377684,46.19858799,49.04400061,15629.0,239510.0
2015/11/26/15:00,250.3,250.3,250.1,250.3,17.65432099,11.24908011,78.16999573,53.58377684,46.19858799,49.04400061,4967.0,239134.0
2015/11/27/09:00,250.5,250.9,250.2,250.35,17.65432099,11.24908011,78.16999573,53.58377684,46.19858799,49.04400061,19910.0,239829.0
2015/11/27/10:00,250.3,250.6,249.9,250.05,17.65432099,11.24908011,78.16999573,53.58377684,46.19858799,49.04400061,15444.0,240420.0
2015/11/27/11:00,250.1,250.35,250.0,250.1,17.65432099,11.24908011,78.16999573,53.58377684,46.19858799,49.04400061,9771.0,239961.0
2015/11/27/12:00,250.15,250.15,249.9,249.95,17.65432099,11.24908011,78.16999573,53.58377684,46.19858799,49.04400061,5613.0,237936.0
2015/11/27/13:00,250.0,250.1,249.7,250.1,17.65432099,11.24908011,78.16999573,53.58377684,46.19858799,49.04400061,7981.0,240522.0
2015/11/27/14:00,250.05,250.1,249.75,249.9,17.65432099,11.24908011,78.16999573,53.58377684,46.19858799,49.04400061,10802.0,240031.0
2015/11/27/15:00,249.9,249.95,249.7,249.7,19.38271605,11.24908011,69.78126389,53.58377684,46.19858799,49.04400061,4148.0,239720.0
2015/11/30/09:00,248.7,248.8,246.2,246.55,16.3548992,11.24908011,60.00121432,53.58377684,46.19858799,49.04400061,42002.0,240058.0
2015/11/30/10:00,246.5,246.75,245.7,245.85,10.98982085,11.24908011,48.64795619,53.58377684,46.19858799,49.04400061,28089.0,239456.0
2015/11/30/11:00,245.85,246.15,245.1,245.2,6.40252028,11.24908011,37.75658651,53.58377684,46.19858799,49.04400061,20181.0,236904.0
